주문일자,주문번호,상품명,카테고리,수량,단가,매출,고객유형,채널
2026-01-03,ORD-2026-0001,무선 이어폰 프로,오디오,3,89000,267000,일반,온라인
2026-01-04,ORD-2026-0002,노트북 파우치 15인치,액세서리,3,35000,105000,일반,온라인
2026-01-05,ORD-2026-0003,블루투스 스피커 맥스,오디오,2,129000,258000,일반,온라인
2026-01-06,ORD-2026-0004,스마트워치 밴드,액세서리,10,19000,190000,일반,오프라인
2026-01-07,ORD-2026-0005,무선 이어폰 프로,오디오,2,89000,178000,일반,온라인
2026-01-08,ORD-2026-0006,USB-C 허브 7in1,액세서리,5,49000,245000,일반,온라인
2026-01-09,ORD-2026-0007,급속 충전 케이블,액세서리,5,15000,75000,일반,온라인
2026-01-10,ORD-2026-0008,노트북 파우치 15인치,액세서리,20,35000,700000,기업,온라인
2026-01-11,ORD-2026-0009,무선 이어폰 프로,오디오,1,89000,89000,일반,온라인
2026-01-12,ORD-2026-0010,블루투스 스피커 맥스,오디오,15,129000,1935000,기업,오프라인
2026-01-13,ORD-2026-0011,스마트워치 밴드,액세서리,30,19000,570000,기업,온라인
2026-01-14,ORD-2026-0012,무선 이어폰 프로,오디오,20,89000,1780000,기업,오프라인
2026-01-15,ORD-2026-0013,USB-C 허브 7in1,액세서리,20,49000,980000,기업,온라인
2026-01-16,ORD-2026-0014,급속 충전 케이블,액세서리,30,15000,450000,기업,온라인
2026-01-18,ORD-2026-0015,무선 이어폰 프로,오디오,2,89000,178000,일반,온라인
2026-01-19,ORD-2026-0016,스마트워치 밴드,액세서리,5,19000,95000,일반,온라인
2026-01-20,ORD-2026-0017,블루투스 스피커 맥스,오디오,1,129000,129000,일반,온라인
2026-01-22,ORD-2026-0018,무선 이어폰 프로,오디오,1,89000,89000,일반,온라인
2026-01-23,ORD-2026-0019,노트북 파우치 15인치,액세서리,5,35000,175000,일반,오프라인
2026-01-25,ORD-2026-0020,무선 이어폰 프로,오디오,25,89000,2225000,기업,오프라인
2026-01-26,ORD-2026-0021,블루투스 스피커 맥스,오디오,2,129000,258000,일반,온라인
2026-01-27,ORD-2026-0022,스마트워치 밴드,액세서리,5,19000,95000,일반,온라인
2026-01-28,ORD-2026-0023,무선 이어폰 프로,오디오,3,89000,267000,일반,온라인
2026-01-29,ORD-2026-0024,급속 충전 케이블,액세서리,5,15000,75000,일반,온라인
2026-01-30,ORD-2026-0025,무선 이어폰 프로,오디오,3,89000,267000,일반,오프라인
2026-02-02,ORD-2026-0026,무선 이어폰 프로,오디오,4,89000,356000,일반,온라인
2026-02-03,ORD-2026-0027,블루투스 스피커 맥스,오디오,3,129000,387000,일반,온라인
2026-02-04,ORD-2026-0028,스마트워치 밴드,액세서리,12,19000,228000,일반,오프라인
2026-02-05,ORD-2026-0029,USB-C 허브 7in1,액세서리,8,49000,392000,일반,온라인
2026-02-06,ORD-2026-0030,무선 이어폰 프로,오디오,30,89000,2670000,기업,오프라인
2026-02-08,ORD-2026-0031,노트북 파우치 15인치,액세서리,3,35000,105000,일반,온라인
2026-02-09,ORD-2026-0032,급속 충전 케이블,액세서리,6,15000,90000,일반,온라인
2026-02-10,ORD-2026-0033,블루투스 스피커 맥스,오디오,20,129000,2580000,기업,오프라인
2026-02-11,ORD-2026-0034,무선 이어폰 프로,오디오,2,89000,178000,일반,온라인
2026-02-12,ORD-2026-0035,스마트워치 밴드,액세서리,40,19000,760000,기업,온라인
2026-02-13,ORD-2026-0036,USB-C 허브 7in1,액세서리,25,49000,1225000,기업,오프라인
2026-02-14,ORD-2026-0037,무선 이어폰 프로,오디오,30,89000,2670000,기업,오프라인
2026-02-16,ORD-2026-0038,노트북 파우치 15인치,액세서리,25,35000,875000,기업,온라인
2026-02-17,ORD-2026-0039,무선 이어폰 프로,오디오,1,89000,89000,일반,온라인
2026-02-18,ORD-2026-0040,블루투스 스피커 맥스,오디오,3,129000,387000,일반,온라인
2026-02-19,ORD-2026-0041,급속 충전 케이블,액세서리,10,15000,150000,일반,온라인
2026-02-20,ORD-2026-0042,스마트워치 밴드,액세서리,5,19000,95000,일반,오프라인
2026-02-23,ORD-2026-0043,무선 이어폰 프로,오디오,8,89000,712000,일반,온라인
2026-02-25,ORD-2026-0044,급속 충전 케이블,액세서리,4,15000,60000,일반,온라인
2026-02-26,ORD-2026-0045,USB-C 허브 7in1,액세서리,7,49000,343000,일반,온라인
2026-02-27,ORD-2026-0046,무선 이어폰 프로,오디오,1,89000,89000,일반,온라인
2026-02-28,ORD-2026-0047,스마트워치 밴드,액세서리,3,19000,57000,일반,오프라인
2026-03-02,ORD-2026-0048,무선 이어폰 프로,오디오,2,89000,178000,일반,온라인
2026-03-03,ORD-2026-0049,블루투스 스피커 맥스,오디오,2,129000,258000,일반,온라인
2026-03-04,ORD-2026-0050,스마트워치 밴드,액세서리,8,19000,152000,일반,온라인
2026-03-05,ORD-2026-0051,USB-C 허브 7in1,액세서리,4,49000,196000,일반,온라인
2026-03-06,ORD-2026-0052,무선 이어폰 프로,오디오,3,89000,267000,일반,온라인
2026-03-08,ORD-2026-0053,급속 충전 케이블,액세서리,5,15000,75000,일반,온라인
2026-03-10,ORD-2026-0055,노트북 파우치 15인치,액세서리,3,35000,105000,일반,온라인
2026-03-12,ORD-2026-0056,블루투스 스피커 맥스,오디오,4,129000,516000,일반,오프라인
2026-03-13,ORD-2026-0057,스마트워치 밴드,액세서리,10,19000,190000,일반,온라인
2026-03-14,ORD-2026-0058,USB-C 허브 7in1,액세서리,6,49000,294000,일반,온라인
2026-03-15,ORD-2026-0059,블루투스 스피커 맥스,오디오,1,129000,5000000,기업,오프라인
2026-03-17,ORD-2026-0060,무선 이어폰 프로,오디오,4,89000,356000,일반,온라인
2026-03-19,ORD-2026-0061,급속 충전 케이블,액세서리,8,15000,120000,일반,온라인
2026-03-21,ORD-2026-0062,무선 이어폰 프로,오디오,15,89000,1335000,기업,오프라인
2026-03-23,ORD-2026-0063,스마트워치 밴드,액세서리,4,19000,76000,일반,온라인
2026-03-25,ORD-2026-0064,USB-C 허브 7in1,액세서리,3,49000,147000,일반,온라인
2026-03-27,ORD-2026-0065,무선 이어폰 프로,오디오,6,89000,534000,일반,온라인
2026-03-29,ORD-2026-0066,노트북 파우치 15인치,액세서리,2,35000,70000,일반,온라인
2026-03-31,ORD-2026-0067,무선 이어폰 프로,오디오,1,89000,89000,일반,오프라인
